literal	components	onyomi	component_only_set	phono_component_sets	largest_phonetic_set_size	reliability_rating
綻	['卜', '定', '宀', '冖', '人', '龰', '糸', '疋']	['タン']	[]	[]	0	0
朽	['丂', '木']	['キュウ']	[]	[]	0	0
切	['一', '刀', '七']	['セツ', 'サイ']	[]	[['窃'], ['砌']]	1	1.0
勿	['勹']	['ブツ', 'モチ', 'ボツ']	['湯', '蜴', '揚', '觴', '煬', '場', '刎', '瘍', '蘯', '殤', '蕩', '偬', '惣', '惚', '鯣', '腸', '匆', '膓', '陽', '怱', '裼', '塲', '賜', '錫', '易', '忽', '慯', '蝪', '笏', '傷', '剔', '昜', '楊', '暘', '吻', '盪', '暢', '葱']	[['物']]	1	0.026
恨	['艮', '忄']	['コン']	[]	[]	0	0
綛	['忍', '丶', '心', '刀', '糸', '刃']	[]	[]	[]	0	0
鍾	['重', '十', '丿', '金', '千', '里']	['ショウ', 'シュ']	[]	[]	0	0
柑	['甘', '十', '木', '廿']	['コン', 'カン']	[]	[]	0	0
綏	['⺤', '糸', '女', '妥']	['スイ', 'タ']	[]	[]	0	0
蟯	['一', '中', '土', '丿', '口', '虫', '儿', '堯', '丨', '兀']	['ギョウ', 'ジョウ']	[]	[]	0	0
定	['卜', '宀', '冖', '人', '龰', '疋']	['ジョウ', 'テイ']	['綻', '淀', '聢']	[['掟', '諚', '錠'], ['碇', '掟']]	3	0.571
勘	['八', '甘', '十', '丿', '力', '匹', '匚', '儿', '廿', '甚']	['カン']	[]	[]	0	0
蜷	['中', '卷', '口', '虫', '人', '二', '丨', '卩']	['ケン']	[]	[]	0	0
